[     152ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     824ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     849ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[   91120ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   92125ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   93128ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   94130ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   95133ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[   96137ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  101144ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  106157ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  111167ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  116190ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  121259ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[  126330ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=hHd2ywRbTUG4ovwiIojUd' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
